inchikey,smiles,number of aromatic rings
VTMVHDZWSFQSQP-VBNZEHGJSA-N,CC12CCCCCC(Cc3ccc(O)cc31)C2N,1
IXHBTMCLRNMKHZ-LBPRGKRZSA-N,CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O,1
VAAUVRVFOQPIGI-SPQHTLEESA-N,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CSC12)c1csc(N)n1,2
RIKMMFOAQPJVMX-UHFFFAOYSA-N,Cc1cn[nH]c1,1
BQIPXWYNLPYNHW-UHFFFAOYSA-N,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C,1
CDCHDCWJMGXXRH-UHFFFAOYSA-N,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,3
YBBLVLTVTVSKRW-UHFFFAOYSA-N,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,2
FOHHNHSLJDZUGQ-UHFFFAOYSA-N,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,3
OZOMQRBLCMDCEG-UHFFFAOYSA-N,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,2
NZCRJKRKKOLAOJ-XRCRFVBUSA-N,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,4
YQEZLKZALYSWHR-UHFFFAOYSA-N,CNC1(c2ccccc2Cl)CCCCC1=O,1
FQPFAHBPWDRTLU-UHFFFAOYSA-N,Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,4
URKOMYMAXPYINW-UHFFFAOYSA-N,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,2
ILVYCEVXHALBSC-OTBYEXOQSA-N,COc1cc2c(cc1OC)C(Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CCC=CCCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3C1Cc1cc(OC)c(OC)c(OC)c1)CC2,4
XBMIVRRWGCYBTQ-AVRDEDQJSA-N,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,2
PJWPNDMDCLXCOM-UHFFFAOYSA-N,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,2
RCINICONZNJXQF-MZXODVADSA-N,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,3
NRNCYVBFPDDJNE-UHFFFAOYSA-N,NC1=NC(=O)C(c2ccccc2)O1,1
OGAKLTJNUQRZJU-UHFFFAOYSA-N,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,2
QWAXKHKRTORLEM-UGJKXSETSA-N,CC(C)(C)N=C(O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)N=C(O)C(CC(=N)O)NC(=O)c1ccc2ccccc2n1,3
TTWJBBZEZQICBI-UHFFFAOYSA-N,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,1
WTDRDQBEARUVNC-LURJTMIESA-N,NC(Cc1ccc(O)c(O)c1)C(=O)O,1
NUNIWXHYABYXKF-UHFFFAOYSA-N,CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1,2
CEUORZQYGODEFX-UHFFFAOYSA-N,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,2
WSPOMRSOLSGNFJ-UHFFFAOYSA-N,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21,2
HEMJJKBWTPKOJG-UHFFFAOYSA-N,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1
GDLIGKIOYRNHDA-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,2
WDFKMLRRRCGAKS-UHFFFAOYSA-N,Oc1c(Cl)cc(Cl)c2cccnc12,2
UIEATEWHFDRYRU-UHFFFAOYSA-N,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,2
ZZHLYYDVIOPZBE-UHFFFAOYSA-N,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,2
XKFPYPQQHFEXRZ-UHFFFAOYSA-N,Cc1cc(C(=O)NNCc2ccccc2)no1,2
ZDZOTLJHXYCWBA-VCVYQWHSSA-N,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,2
NBQNWMBBSKPBAY-UHFFFAOYSA-N,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,2
QQBDLJCYGRGAKP-FOCLMDBBSA-N,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,2
LLJFMFZYVVLQKT-UHFFFAOYSA-N,COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,2
WPGGHFDDFPHPOB-BBWFWOEESA-N,O=C(O)C(CC(=O)N1CC2CCCCC2C1)Cc1ccccc1,1
WVVSZNPYNCNODU-XTQGRXLLSA-N,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,2
ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,3
VOBHXZCDAVEXEY-JSGCOSHPSA-N,CC(Cc1ccccc1)NC(=O)C(N)CCCCN,1
BCFGMOOMADDAQU-UHFFFAOYSA-N,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,5
MFFMDFFZMYYVKS-SECBINFHSA-N,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,2
XAUDJQYHKZQPEU-KVQBGUIXSA-N,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1,1
RAGOYPUPXAKGKH-XAKZXMRKSA-N,CCC(C(C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,5
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,2
IQFYYKKMVGJFEH-CSMHCCOUSA-N,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,1
PMXMIIMHBWHSKN-UHFFFAOYSA-N,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,3
WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,2
JQSHBVHOMNKWFT-DTORHVGOSA-N,c1cnc2cc3c(cc2n1)C1CNCC3C1,2
BPZSYCZIITTYBL-YJYMSZOUSA-N,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,2
RPTUSVTUFVMDQK-UHFFFAOYSA-N,NNc1nncc2ccccc12,2
IXOXBSCIXZEQEQ-UHTZMRCNSA-N,COc1nc(N)nc2c1ncn2C1OC(CO)C(O)C1O,2
NSTRIRCPWQHTIA-DTRKZRJBSA-N,CCC(C)C1NC(=O)C(Cc2ccc(OC)cc2)NC(=O)CCCSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,1
KHPKQFYUPIUARC-UHFFFAOYSA-N,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,2
ZOEFCCMDUURGSE-XWTFHMIISA-N,CSCCC(NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CO)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)O)C(C)C)C(C)C)C(C)C,6
LSLYOANBFKQKPT-UHFFFAOYSA-N,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,2
ZKUDBRCEOBOWLF-UHFFFAOYSA-N,Cc1cc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NN3CCCCCC3)cc2)no1,2
VQDBNKDJNJQRDG-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,1
ZREIPSZUJIFJNP-UHFFFAOYSA-K,O=C1O[Bi](O)Oc2ccccc21,1
HXLAFSUPPDYFEO-UHFFFAOYSA-N,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,2
DURULFYMVIFBIR-UHFFFAOYSA-N,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,1
SIBQAECNSSQUOD-UHFFFAOYSA-N,CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,2
PJSFRIWCGOHTNF-UHFFFAOYSA-N,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,2
HMEYVGGHISAPJR-IAHYZSEUSA-N,CN(C)C1C(O)=C(C(=O)NCN2CCCC2)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,1
RLANKEDHRWMNRO-UHFFFAOYSA-M,C[N+](C)(C)CCO.Cn1c(=O)c2[n-]cnc2n(C)c1=O,2
MLBVMOWEQCZNCC-OEMFJLHTSA-N,CC(C)CN(CC(OP(=O)(O)O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,2
XWLUWCNOOVRFPX-UHFFFAOYSA-N,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,2
CYLWJCABXYDINA-UHFFFAOYSA-N,CN1C(CSCC(F)(F)F)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,1
AGMMTXLNIQSRCG-UHFFFAOYSA-N,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,1
OLVCFLKTBJRLHI-AXAPSJFSSA-N,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1,2
MLYYVTUWGNIJIB-BXKDBHETSA-N,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,2
DYAIAHUQIPBDIP-AXAPSJFSSA-N,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N12,2
GCFBRXLSHGKWDP-WTKTZPJXSA-N,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)C(=O)C1=O,2
SRZNHPXWXCNNDU-IXOPCIAXSA-N,COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,1
WZOZEZRFJCJXNZ-ZBFHGGJFSA-N,COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC21,1
NNULBSISHYWZJU-LLKWHZGFSA-N,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCSC12)c1csc(N)n1,1
JFXBEKISTKFVAB-AJQTZOPKSA-N,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)C3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1C(C2)[N+](C)(C)CC3,4
HHHKFGXWKKUNCY-FHWLQOOXSA-N,CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,1
YONOBYIBNBCDSJ-UHFFFAOYSA-N,CCCCc1nc(CCCC)n(Cc2ccc(-c3ccccc3-c3nn[nH]n3)nc2)n1,4
YHRUERMOPBDCFD-UHFFFAOYSA-N,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3
DUEWVPTZCSAMNB-UHFFFAOYSA-N,CCc1nc(C2CC2)c(C(N)=O)n1Cc1ccc2oc(-c3ccccc3NS(=O)(=O)C(F)(F)F)c(Br)c2c1,4
HRWCVUIFMSZDJS-SZMVWBNQSA-N,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CC2(CC1C(=O)O)SCCS2,1
ADXGNEYLLLSOAR-UHFFFAOYSA-N,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,4
IMSSROKUHAOUJS-MJCUULBUSA-N,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,1
KQXKVJAGOJTNJS-HNNXBMFYSA-N,CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,1
NTHXOOBQLCIOLC-UHFFFAOYSA-N,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,1
KWGRBVOPPLSCSI-WPRPVWTQSA-N,CNC(C)C(O)c1ccccc1,1
RXQCGGRTAILOIN-UHFFFAOYSA-N,CNC(C)(C)Cc1ccccc1,1
FKNXQNWAXFXVNW-BLLLJJGKSA-N,CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12,2
RUOKEQAAGRXIBM-GFCCVEGCSA-N,C#CCNC1CCc2ccccc21,1
WTHRRGMBUAHGNI-LCYNINFDSA-N,CCC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)NC(=O)C2CC(=O)C(CSC3CN4CCC3CC4)CN2C(=O)C(Cc2ccc(N(C)C)cc2)N(C)C(=O)C2CCCN2C1=O,3
QFWPJPIVLCBXFJ-UHFFFAOYSA-N,COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1,2
HBNPJJILLOYFJU-VMPREFPWSA-N,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,3
BLGXFZZNTVWLAY-SCYLSFHTSA-N,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,2
IIBYAHWJQTYFKB-UHFFFAOYSA-N,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,2
IAKHMKGGTNLKSZ-UHFFFAOYSA-N,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,2
MQHWFIOJQSCFNM-UHFFFAOYSA-L,O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.[Mg+2],2
WVYADZUPLLSGPU-UHFFFAOYSA-N,O=C(Oc1ccccc1C(=O)O)c1ccccc1O,2
ALWKGYPQUAPLQC-UHFFFAOYSA-N,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,1
FQCQGOZEWWPOKI-UHFFFAOYSA-K,C[N+](C)(C)CCO.O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.[Mg+2],3
VRQVVMDWGGWHTJ-CQSZACIVSA-N,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,2
QKDHBVNJCZBTMR-UHFFFAOYSA-N,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,3
POZRVZJJTULAOH-LHZXLZLDSA-N,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,1
STJMRWALKKWQGH-UHFFFAOYSA-N,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,1
ANZXOIAKUNOVQU-UHFFFAOYSA-N,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,1
LERNTVKEWCAPOY-DZZGSBJMSA-N,C[N+]1(C)C2CC(OC(=O)C(O)(c3cccs3)c3cccs3)CC1C1OC12,2
NBQKINXMPLXUET-UHFFFAOYSA-N,O=C(Nc1cccc2c(=O)cc(-c3nn[nH]n3)oc12)c1ccc(OCCCCc2ccccc2)cc1,5
YAPQBXQYLJRXSA-UHFFFAOYSA-N,Cn1cnc2c1c(=O)[nH]c(=O)n2C,2
HVFLCNVBZFFHBT-ZKDACBOMSA-N,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CSC12)c1csc(N)n1,1
UNJFKXSSGBWRBZ-BJCIPQKHSA-N,Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1,1
WYUSVOMTXWRGEK-HBWVYFAYSA-N,COCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1,1
VABCILAOYCMVPS-UHFFFAOYSA-N,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,3
NWGGKKGAFZIVBJ-UHFFFAOYSA-N,O=C(OCCN1CCN(c2cccc(C(F)(F)F)c2)CC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,4
RJIWZDNTCBHXAL-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)c2ncccc12,2
JNYSEDHQJCOWQU-UHFFFAOYSA-N,CC(SC(=O)c1cccs1)C(=O)NCC(=O)O,1
RMMXTBMQSGEXHJ-UHFFFAOYSA-N,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,2
KSEYRUGYKHXGFW-UHFFFAOYSA-N,C=CCN1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC,2
CJDRUOGAGYHKKD-HEFSZTOGSA-N,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,1
RNLQIBCLLYYYFJ-UHFFFAOYSA-N,Nc1cc(-c2ccncc2)c[nH]c1=O,2
DXGLGDHPHMLXJC-UHFFFAOYSA-N,COc1ccc(C(=O)c2ccccc2)c(O)c1,2
NZLBHDRPUJLHCE-UHFFFAOYSA-N,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,2
OBDOVFRMEYHSQB-UHFFFAOYSA-N,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,3
XBMIVRRWGCYBTQ-UHFFFAOYSA-N,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,2
VEQOALNAAJBPNY-UHFFFAOYSA-N,Cc1cc(=O)n(-c2ccccc2)n1C,2
JMBQKKAJIKAWKF-UHFFFAOYSA-N,CCC1(c2ccccc2)CCC(=O)NC1=O,1
QPFYXYFORQJZEC-FOCLMDBBSA-N,Nc1ccc(N=Nc2ccccc2)c(N)n1,2
SRARDYUHGVMEQI-UHFFFAOYSA-N,CCC(=O)N(c1ccccc1)C1CCN(CCc2cccs2)CC1C,2
DNBPMBJFRRVTSJ-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,2
YQYUWUKDEVZFDB-UHFFFAOYSA-N,COc1cc(CC(C)N)cc2c1OCO2,1
CANBGVXYBPOLRR-UHFFFAOYSA-N,CC(C=C(c1cccs1)c1cccs1)N(C)C,2
VTTONGPRPXSUTJ-UHFFFAOYSA-N,CN(C)CCc1c[nH]c2ccc(O)cc12,2
QSQQQURBVYWZKJ-UHFFFAOYSA-N,CC(N)Cc1c[nH]c2ccccc12,2
LJQBMYDFWFGESC-UHFFFAOYSA-N,CC1N=C(N)OC1c1ccccc1,1
BRTSNYPDACNMIP-FAWZKKEFSA-N,CCCC(C)(O)C1CC23CCC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5,1
GVGLGOZIDCSQPN-PVHGPHFFSA-N,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341,1
JEFVHLMGRUJLET-UHFFFAOYSA-N,CCC(=O)N(c1ccccc1)C1CCN(CC(O)c2ccccc2)CC1,2
SHXWCVYOXRDMCX-UHFFFAOYSA-N,CNC(C)Cc1ccc2c(c1)OCO2,1
FLKWNFFCSSJANB-UHFFFAOYSA-N,CCC(=O)n1c(=O)n(C2CCN(CCC(C#N)(c3ccccc3)c3ccccc3)CC2)c2ccccc21,4
LSSUMOWDTKZHHT-UHFFFAOYSA-N,CCN(CC)CCc1c[nH]c2ccccc12,2
RHUWRJWFHUKVED-UHFFFAOYSA-N,CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,2
PXDBZSCGSQSKST-UHFFFAOYSA-N,CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1,3
IKFBPFGUINLYQI-UHFFFAOYSA-N,CCNC1C2CCC(C2)C1c1ccccc1,1
NNCOZXNZFLUYGG-UHFFFAOYSA-N,CCOC(=O)C1(c2ccccc2)CCN(CCOCC2CCCO2)CC1,1
LATVFYDIBMDBSY-UHFFFAOYSA-N,COc1ccc(OC)c(CC(C)N)c1,1
OGDVEMNWJVYAJL-LEPYJNQMSA-N,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,1
HXJKWPGVENNMCC-UHFFFAOYSA-N,CCc1cc(OC)c(CC(C)N)cc1OC,1
MORSAEFGQPDBKM-UHFFFAOYSA-N,CCN(C)C(C)C=C(c1cccs1)c1cccs1,2
LFYBMMHFJIAKFE-PMEKXCSPSA-N,CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(OC(C)=O)ccc5c4C12CCN(C)C3C5,1
YPOXDUYRRSUFFG-UHFFFAOYSA-N,CCC(=O)N(c1ccccc1)C1CCN(C(C)Cc2cccs2)CC1,2
NEGYEDYHPHMHGK-UHFFFAOYSA-N,COc1ccc(CC(C)N)cc1,1
UVAZQQHAVMNMHE-CZUORRHYSA-N,CCC(=O)OC1(c2ccccc2)CCN(C)CC1C,1
LQGIXNQCOXNCRP-UHFFFAOYSA-N,CCOC(=O)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1,2
XDKCGKQHVBOOHC-UHFFFAOYSA-N,O=C1CN2CCOC2(c2ccccc2F)c2cc(Br)ccc2N1,2
KIKLDWULAZATJG-YZZSNFJZSA-M,COc1ccc2c3c1OC1C(O)C=CC4C(C2)[N+](C)(C)CCC341.[Br-],1
BCQMRZRAWHNSBF-UHFFFAOYSA-N,CCC(=O)OC1(c2ccccc2)CCN(C)CC1,1
VSKIOMHXEUHYSI-KNLIIKEYSA-N,COC12C=CC3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,1
MVXGSLGVWBVZCA-UHFFFAOYSA-N,CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C.Cl,3
FXMWUTGUCAKGQL-UHFFFAOYSA-N,COc1cc(CC(C)N)c(OC)cc1Br,1
DLNKOYKMWOXYQA-IONNQARKSA-N,CC(N)C(O)c1ccccc1,1
LMBMDLOSPKIWAP-UHFFFAOYSA-N,CCC(CC)(CNC(=O)CCCO)c1cccc(OC)c1,1
DMULVCHRPCFFGV-UHFFFAOYSA-N,CN(C)CCc1c[nH]c2ccccc12,2
PXBVEXGRHZFEOF-UHFFFAOYSA-N,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,2
SYAKTDIEAPMBAL-UHFFFAOYSA-N,NC1=NCC(c2ccccc2)O1,1
SVDHSZFEQYXRDC-UHFFFAOYSA-N,CCC(=O)C(CC(C)N1CCCCC1)(c1ccccc1)c1ccccc1,2
ATKXDQOHNICLQW-UHFFFAOYSA-N,Cc1cc(=O)n(-c2ccccc2)n1C.OC(O)C(Cl)(Cl)Cl.OC(O)C(Cl)(Cl)Cl,2
DNZPLHRZXUJATK-UHFFFAOYSA-N,O=C1NC(=S)NC(=O)C1Cc1ccc(-c2ccccc2C(F)(F)F)o1,2
CAHCBJPUTCKATP-HBDRVVKHSA-N,CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5,1
QIRAYNIFEOXSPW-YLJYHZDGSA-N,CCC(O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,2
ODEGQXRCQDVXSJ-WMLDXEAASA-N,CCC(=O)OC1(c2ccccc2)CCN(C)CC1CC,1
UFIVBRCCIRTJTN-UHFFFAOYSA-N,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,3
RXTHKWVSXOIHJS-UHFFFAOYSA-N,CCC(=O)N(CC(C)N(C)CCc1ccccc1)c1ccccc1,2
KJTKYGFGPQSRRA-UHFFFAOYSA-N,CCOC(=O)C1(c2ccccc2)CCN(CCOCCO)CC1,1
RGZGRPPQZUQUCR-UHFFFAOYSA-N,NC1(c2ccccc2)CCCCC1,1
NGBBVGZWCFBOGO-UHFFFAOYSA-N,CC(N)Cc1ccc2c(c1)OCO2,1
CHIFCDOIPRCHCF-UHFFFAOYSA-N,O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,2
AABLHGPVOULICI-BRJGLHKUSA-N,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3(O)C1C5,1
RGLLOUBXMOGLDQ-IVEVATEUSA-N,CC12Cc3nonc3CC1CCC1C2CCC2(C)C1CCC2(C)O,1
GVGYEFKIHJTNQZ-RFQIPJPRSA-N,CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2,1
WGTASENVNYJZBK-UHFFFAOYSA-N,COc1cc(CC(C)N)cc(OC)c1OC,1
UVTBZAWTRVBTMK-UHFFFAOYSA-N,CCOC(=O)C1(c2ccccc2)CCN(CCOCc2ccccc2)CC1,2
JUZZEWSCNBCFRL-UHFFFAOYSA-N,c1csc(C2(N3CCCCC3)CCCCC2)c1,1
XBMIVRRWGCYBTQ-GCJKJVERSA-N,CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,2
GPZLDQAEBHTMPG-UHFFFAOYSA-N,CCN(CC)CCn1c(Cc2ccc(Cl)cc2)nc2cc([N+](=O)[O-])ccc21,3
HXCXASJHZQXCKK-UHFFFAOYSA-N,CC(C)(N)Cc1ccccc1Cl,1
NTJQREUGJKIARY-UHFFFAOYSA-N,COc1cc(CC(C)N)c(OC)cc1C,1
INUNXTSAACVKJS-OAQYLSRUSA-N,CC(CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,2
LNNWVNGFPYWNQE-GMIGKAJZSA-N,CN1CCC23c4c5ccc(O)c4OC2CCCC3C1C5,1
