inchikey,smiles,molwt,logp,HBA,HBD
GMRQFYUYWCNGIN-NKMMMXOESA-N,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,416.6460000000002,5.704700000000008,3,3
KBPHJBAIARWVSC-DKLMTRRASA-N,CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,568.8860000000003,10.403299999999994,2,2
LEVWYRKDKASIDU-IMJSIDKUSA-N,NC(CSSCC(N)C(=O)O)C(=O)O,240.30599999999998,-0.8083999999999987,6,6
KDYFGRWQOYBRFD-UHFFFAOYSA-N,O=C(O)CCC(=O)O,118.088,-0.06420000000000003,4,2
AUNGANRZJHBGPY-SCRDCRAPSA-N,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,376.3690000000001,-1.7235599999999989,10,5
MBLBDJOUHNCFQT-LXGUWJNJSA-N,CC(=O)NC(C=O)C(O)C(O)C(O)CO,221.20899999999997,-3.2349999999999994,7,5
WHUUTDBJXJRKMK-VKHMYHEASA-N,NC(CCC(=O)O)C(=O)O,147.13,-0.7368999999999997,5,4
RWSXRVCMGQZWBV-WDSKDSINSA-N,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,307.3280000000001,-2.2060999999999966,9,6
UNJJBGNPUUVVFQ-ZJUUUORDSA-N,CCCC(=O)OC(COC(=O)CC)COP(=O)(O)OCC(N)C(=O)O,385.30600000000027,0.19699999999999962,11,4
DHMQDGOQFOQNFH-UHFFFAOYSA-N,NCC(=O)O,75.067,-0.9702999999999999,3,3
JWUBBDSIWDLEOM-DTOXIADCSA-N,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,400.6470000000002,6.733900000000009,2,2
RADKZDMFGJYCBB-UHFFFAOYSA-N,Cc1ncc(CO)c(C=O)c1O,167.16400000000002,0.4004199999999999,4,2
CVSVTCORWBXHQV-UHFFFAOYSA-N,CN(CC(=O)O)C(=N)N,131.135,-1.1037299999999999,5,4
ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)CC(N)C(=O)O,131.17499999999998,0.4444,3,3
QIVBCDIJIAJPQS-VIFPVBQESA-N,NC(Cc1c[nH]c2ccccc12)C(=O)O,204.229,1.1222999999999999,4,4
XUJNEKJLAYXESH-REOHCLBHSA-N,NC(CS)C(=O)O,121.16100000000002,-0.6719,3,3
JZRWCGZRTZMZEH-UHFFFAOYSA-N,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,265.36199999999997,0.6077399999999997,5,3
MECHNRXZTMCUDQ-RKHKHRCZSA-N,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,396.6590000000003,7.641000000000009,1,1
HOBAELRKJCKHQD-QNEBEIHSSA-N,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,306.49,6.440700000000007,2,1
RHGKLRLOHDJJDR-BYPYZUCNSA-N,NC(=O)NCCCC(N)C(=O)O,175.18800000000002,-1.1531999999999998,6,6
AYFVYJQAPQTCCC-GBXIJSLDSA-N,CC(O)C(N)C(=O)O,119.11999999999999,-1.2209,4,4
BOPGDPNILDQYTO-NNYOXOHSSA-N,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1,665.4459999999999,-2.686399999999993,21,10
OVBPIULPVIDEAO-LBPRGKRZSA-N,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,441.4040000000003,-0.04479999999999862,13,7
JAZBEHYOTPTENJ-JLNKQSITSA-N,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,302.45799999999997,5.992700000000006,2,1
QNAYBMKLOCPYGJ-REOHCLBHSA-N,CC(N)C(=O)O,89.09400000000001,-0.5817999999999999,3,3
KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)C(N)C(=O)O,117.148,0.054300000000000015,3,3
